TimeStamp,Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1
7702,-15.36,54.17,-10.45,6.14,41.16,1.33,2.351,35
7717,-15.4,54.31,-10.53,6.14,41.16,1.33,2.351,36
7731,-15.46,54.46,-10.61,6.17,41.29,1.33,2.356,36
7745,-15.51,54.59,-10.69,6.22,41.42,1.35,2.351,35
7760,-15.6,54.72,-10.77,6.27,41.55,1.36,2.351,39
7774,-15.69,54.86,-10.86,6.31,41.68,1.36,2.351,38
7789,-15.76,55,-10.94,6.31,41.68,1.36,2.351,37
7803,-15.82,55.13,-11.01,6.36,41.8,1.38,2.351,37
7818,-15.86,55.27,-11.08,6.4,41.93,1.4,2.356,37
7832,-15.9,55.41,-11.14,6.42,42.06,1.4,2.351,36
7847,-15.94,55.54,-11.2,6.45,42.2,1.41,2.351,36
7861,-16,55.67,-11.27,6.47,42.32,1.42,2.351,35
7876,-16.04,55.8,-11.32,6.47,42.32,1.42,2.351,36
7890,-16.08,55.93,-11.38,6.49,42.45,1.44,2.351,37
7904,-16.13,56.07,-11.45,6.51,42.58,1.45,2.356,36
7919,-16.17,56.19,-11.51,6.53,42.7,1.46,2.356,36
7934,-16.23,56.31,-11.57,6.56,42.82,1.47,2.351,35
7948,-16.28,56.42,-11.62,6.56,42.82,1.47,2.351,35
7962,-16.34,56.54,-11.67,6.59,42.94,1.49,2.351,37
7977,-16.42,56.67,-11.74,6.6,43.07,1.5,2.356,37
7991,-16.48,56.79,-11.8,6.62,43.19,1.52,2.351,35
8006,-16.55,56.9,-11.86,6.64,43.32,1.53,2.351,36
8020,-16.64,57.03,-11.94,6.64,43.32,1.53,2.356,37
8034,-16.74,57.14,-12.03,6.67,43.45,1.54,2.351,37
8049,-16.82,57.26,-12.09,6.68,43.58,1.56,2.356,36
8063,-16.92,57.37,-12.17,6.7,43.7,1.56,2.356,36
8078,-17.02,57.5,-12.24,6.72,43.83,1.57,2.356,36
8092,-17.11,57.61,-12.31,6.74,43.95,1.58,2.351,35
8107,-17.19,57.73,-12.38,6.74,43.95,1.58,2.351,36
8121,-17.27,57.83,-12.45,6.76,44.08,1.59,2.356,37
8135,-17.36,57.95,-12.53,6.79,44.2,1.61,2.351,36
8150,-17.45,58.07,-12.61,6.81,44.33,1.61,2.351,36
8165,-17.52,58.19,-12.67,6.84,44.45,1.62,2.351,36
8230,-17.58,58.31,-12.73,6.87,44.57,1.64,2.356,38
8244,-17.66,58.43,-12.79,6.91,44.68,1.66,2.351,38
8259,-17.74,58.54,-12.87,6.94,44.8,1.68,2.351,38
8273,-17.83,58.66,-12.95,6.98,44.91,1.71,2.351,38
8288,-17.9,58.78,-13.02,7.01,45.02,1.73,2.351,37
8302,-17.97,58.9,-13.09,7.03,45.14,1.75,2.356,37
8317,-18.06,59.01,-13.17,7.06,45.26,1.79,2.356,37
8331,-18.15,59.13,-13.25,7.08,45.38,1.81,2.351,37
8346,-18.24,59.25,-13.32,7.11,45.49,1.83,2.356,37
8360,-18.31,59.37,-13.39,7.14,45.62,1.84,2.356,37
8374,-18.4,59.48,-13.46,7.17,45.73,1.85,2.356,36
8389,-18.48,59.59,-13.52,7.21,45.85,1.86,2.356,37
8403,-18.54,59.7,-13.58,7.24,45.97,1.86,2.351,37
8418,-18.58,59.81,-13.61,7.26,46.08,1.87,2.356,36
8432,-18.61,59.92,-13.65,7.28,46.19,1.88,2.356,36
8447,-18.66,60.03,-13.71,7.28,46.19,1.88,2.356,37
8460,-18.71,60.14,-13.78,7.3,46.3,1.88,2.356,37
8475,-18.8,60.24,-13.88,7.31,46.42,1.89,2.351,37
8489,-18.9,60.35,-13.97,7.31,46.53,1.9,2.356,37
8504,-19,60.45,-14.07,7.3,46.65,1.91,2.356,37
8518,-19.12,60.54,-14.18,7.3,46.65,1.91,2.356,37
8532,-19.27,60.63,-14.29,7.29,46.77,1.91,2.356,37
8547,-19.44,60.73,-14.42,7.28,46.9,1.91,2.356,35
8561,-19.64,60.82,-14.56,7.28,47.02,1.92,2.356,37
8575,-19.81,60.92,-14.69,7.29,47.14,1.93,2.356,38
8590,-19.98,61.01,-14.82,7.31,47.27,1.94,2.356,37
8604,-20.14,61.1,-14.95,7.31,47.27,1.94,2.356,36
8618,-20.24,61.2,-15.04,7.32,47.39,1.93,2.351,37
8633,-20.36,61.29,-15.15,7.34,47.52,1.92,2.356,36
8647,-20.49,61.41,-15.27,7.36,47.64,1.92,2.356,36
8661,-20.6,61.52,-15.4,7.37,47.76,1.93,2.356,36
8676,-20.71,61.63,-15.5,7.37,47.76,1.93,2.356,37
8690,-20.78,61.73,-15.58,7.39,47.88,1.94,2.356,38
8704,-20.89,61.84,-15.67,7.41,48.01,1.95,2.356,38
8719,-21.02,61.96,-15.77,7.43,48.12,1.95,2.356,37
8733,-21.14,62.08,-15.89,7.45,48.24,1.97,2.356,37
8747,-21.24,62.18,-15.98,7.45,48.24,1.97,2.356,37
8761,-21.35,62.3,-16.07,7.47,48.36,1.99,2.356,36
8776,-21.35,62.3,-16.07,7.49,48.48,2.01,2.356,35
8790,-21.51,62.42,-16.19,7.51,48.61,2.03,2.356,36
8804,-21.66,62.54,-16.31,7.53,48.73,2.04,2.356,36
8818,-21.77,62.63,-16.4,7.53,48.73,2.04,2.361,38
8832,-21.88,62.74,-16.48,7.54,48.86,2.06,2.356,38
8847,-21.88,62.74,-16.48,7.55,48.98,2.07,2.361,37
8861,-21.99,62.85,-16.56,7.57,49.1,2.09,2.361,36
8875,-22.1,62.95,-16.64,7.58,49.23,2.1,2.356,35
8889,-22.22,63.06,-16.72,7.58,49.23,2.1,2.356,36
8903,-22.29,63.16,-16.8,7.59,49.35,2.1,2.356,35
8918,-22.29,63.16,-16.8,7.61,49.47,2.11,2.361,37
8932,-22.37,63.26,-16.87,7.63,49.59,2.12,2.361,37
8946,-22.48,63.36,-16.97,7.65,49.7,2.13,2.361,38
8960,-22.58,63.47,-17.06,7.65,49.7,2.13,2.361,37
8974,-22.68,63.56,-17.14,7.66,49.82,2.15,2.361,36
8989,-22.68,63.56,-17.14,7.67,49.93,2.16,2.361,37
9002,-22.78,63.66,-17.23,7.69,50.04,2.17,2.361,36
9017,-22.89,63.77,-17.33,7.73,50.16,2.19,2.361,36
9031,-23.01,63.87,-17.45,7.73,50.16,2.19,2.361,36
9045,-23.12,63.97,-17.55,7.76,50.26,2.2,2.366,37
9060,-23.12,63.97,-17.55,7.8,50.36,2.23,2.361,37
9074,-23.19,64.06,-17.62,7.84,50.47,2.26,2.361,36
9088,-23.27,64.15,-17.71,7.89,50.57,2.27,2.361,37
9103,-23.33,64.26,-17.8,7.89,50.57,2.27,2.366,38
9117,-23.42,64.37,-17.9,7.94,50.66,2.28,2.361,38
9132,-23.42,64.37,-17.9,7.99,50.75,2.31,2.361,37
9146,-23.47,64.45,-17.97,8.02,50.84,2.32,2.361,37
9160,-23.53,64.54,-18.05,8.07,50.93,2.35,2.361,36
9175,-23.59,64.63,-18.12,8.07,50.93,2.35,2.366,37
9189,-23.65,64.73,-18.18,8.11,51.02,2.38,2.361,36
9203,-23.65,64.73,-18.18,8.15,51.11,2.4,2.356,36
9217,-23.73,64.82,-18.25,8.19,51.2,2.42,2.361,36
9232,-23.81,64.9,-18.32,8.24,51.29,2.45,2.361,36
9246,-23.86,64.99,-18.38,8.24,51.29,2.45,2.361,36
9260,-23.9,65.08,-18.43,8.28,51.38,2.48,2.361,36
9275,-23.97,65.18,-18.5,8.32,51.47,2.5,2.361,36
9289,-23.97,65.18,-18.5,8.36,51.55,2.52,2.361,35
9303,-24.03,65.29,-18.56,8.41,51.65,2.54,2.361,35
9318,-24.06,65.39,-18.61,8.41,51.65,2.54,2.361,37
9332,-24.09,65.49,-18.67,8.47,51.74,2.57,2.361,37
9346,-24.16,65.59,-18.75,8.53,51.84,2.59,2.361,37
9361,-24.16,65.59,-18.75,8.58,51.93,2.63,2.361,36
9375,-24.25,65.69,-18.85,8.62,52.03,2.64,2.361,36
9389,-24.33,65.79,-18.95,8.62,52.03,2.64,2.361,36
9403,-24.39,65.88,-19.04,8.67,52.12,2.66,2.361,36
9418,-24.44,65.98,-19.12,8.72,52.22,2.68,2.361,36
9433,-24.44,65.98,-19.12,8.76,52.31,2.7,2.361,36
9447,-24.54,66.07,-19.21,8.8,52.4,2.72,2.361,36
9461,-24.65,66.17,-19.32,8.81,52.5,2.72,2.366,36
9476,-24.76,66.25,-19.43,8.81,52.5,2.72,2.361,36
9490,-24.87,66.33,-19.54,8.83,52.59,2.73,2.361,36
9504,-24.87,66.33,-19.54,8.85,52.69,2.73,2.361,38
