TimeStamp,Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1,EMG2
24697,-150.17,82.26,-144.17,2.73,81.41,6.99,2.297,334,368
24807,-147.2,82.67,-140.93,1.32,80.91,5.5,2.297,328,341
24916,-145.09,83.07,-139.06,0.66,80.46,4.6,2.292,197,157
25026,-143.92,83.34,-138.16,0.8,80.15,4.55,2.297,175,181
25136,-143.7,83.38,-138.12,2.16,79.93,5.8,2.322,280,258
25247,-145.5,83.5,-140.03,3.79,79.93,7.36,2.326,384,376
25356,-147.7,83.64,-142.67,5.41,79.91,8.74,2.326,300,342
25466,-149.88,83.59,-144.96,7.11,79.92,10.34,2.331,324,319
25576,-151.85,83.53,-147.08,8.36,80.02,11.56,2.336,272,282
25686,-153.32,83.3,-148.57,9.48,80.08,12.64,2.331,105,119
25796,-154.28,83.2,-149.39,10.5,80.21,13.74,2.331,263,279
25906,-155.23,83.15,-150.53,11.05,80.26,14.17,2.336,384,381
26016,-155.48,83.07,-150.65,11.34,80.31,14.49,2.331,304,268
26126,-155.63,83.05,-150.71,11.39,80.35,14.57,2.336,232,181
26236,-156.38,83.23,-151.54,11.11,80.45,14.29,2.341,86,85
26346,-157.15,83.34,-152.4,10.74,80.53,13.81,2.341,342,395
26455,-157.15,83.33,-152.58,10.58,80.5,13.46,2.346,248,218
26565,-157.14,83.33,-152.36,10.34,80.57,13.3,2.341,352,398
26675,-157.4,83.4,-152.73,9.89,80.59,12.79,2.346,417,438
26785,-157.52,83.41,-152.94,10.1,80.52,12.87,2.346,346,380
26895,-157.54,83.41,-153.01,10.42,80.42,13.09,2.346,420,464
27005,-157.63,83.43,-153.06,10.34,80.46,13.04,2.346,389,416
27115,-157.49,83.41,-152.91,10.16,80.44,12.82,2.346,244,231
27225,-157.68,83.46,-153.13,10,80.44,12.58,2.341,291,343
27335,-158.13,83.53,-153.65,9.73,80.48,12.26,2.346,325,378
27444,-158.23,83.56,-153.83,9.58,80.49,12.05,2.346,344,308
27554,-158.17,83.53,-153.87,9.67,80.47,11.99,2.346,346,364
27664,-158.34,83.48,-154,9.71,80.52,12.01,2.346,367,424
27774,-158.57,83.46,-154.23,9.56,80.58,11.85,2.346,186,164
27884,-158.89,83.44,-154.53,9.45,80.64,11.71,2.346,179,125
27994,-159.01,83.39,-154.7,9.61,80.67,11.78,2.346,316,277
28104,-159.22,83.36,-154.97,9.69,80.68,11.8,2.346,315,338
28214,-159.59,83.34,-155.4,9.76,80.68,11.8,2.346,217,198
28324,-159.6,83.32,-155.43,9.8,80.69,11.79,2.346,164,129
28434,-159.59,83.3,-155.48,9.64,80.72,11.58,2.346,85,79
28544,-159.59,83.3,-155.52,9.58,80.74,11.47,2.331,287,269
28654,-159.77,83.3,-155.72,9.46,80.75,11.3,2.336,325,276
28763,-159.66,83.31,-155.67,9.32,80.74,11.07,2.341,122,138
28873,-159.57,83.31,-155.61,9.07,80.73,10.77,2.336,210,190
28983,-159.48,83.33,-155.54,8.93,80.7,10.58,2.341,95,102
29093,-159.34,83.35,-155.42,8.72,80.69,10.3,2.336,303,288
29203,-159.22,83.36,-155.33,8.57,80.65,10.08,2.287,352,400
29313,-159.11,83.39,-155.25,8.37,80.63,9.83,2.273,285,345
29423,-158.95,83.46,-155.26,8.12,80.57,9.44,2.326,396,400
29533,-158.82,83.59,-155.73,7.76,80.41,8.73,2.346,376,492
29643,-158.02,83.65,-155.93,7.56,80.08,7.79,2.341,368,417
29753,-157.12,83.71,-154.8,7.48,79.95,7.67,2.361,293,312
29863,-156.27,83.84,-153.42,7.02,79.91,7.38,2.361,94,121
29973,16.71,-24.5,95.87,5.82,79.74,5.94,2.346,34,44
