Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS
-117.89,72.24,-73.31,25.36,69.94,41.11,2.302
-117.63,74.82,-79.75,21.14,68.42,31.43,2.283
-120.44,78.45,-97.85,21.94,68.86,18.01,2.263
-144.86,79.6,-148.11,32.92,70.79,-4.38,2.263
-168.62,79.68,171.85,41.15,73.15,-16.75,2.317
-177.83,79.85,156.21,43.74,73.67,-19.99,2.356
127.16,72.96,112.33,44.91,73.21,-21.15,2.385
-175.91,80.28,157.27,44.3,72.69,-20.7,2.4
-171.59,80.55,162.57,43.4,72.15,-20.49,2.468
-170.46,80.87,164.53,42.62,71.99,-20.52,2.493
-170.03,80.91,164.74,42.35,71.96,-20.75,2.502
-169.39,80.89,165.41,42.54,71.85,-20.54,2.498
-168.78,80.96,166.68,43.15,71.53,-19.49,2.498
-170.33,81.3,166.66,43.32,71.16,-18.41,2.517
179.11,82.23,160.06,43.45,71.09,-17.13,2.522
165.04,84.05,148.9,42.98,71.47,-15.8,2.527
