Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1,Activity
108.74,56.35,-22.69,-116.58,69.29,-39.08,1.926,157,upstairs
112.43,56.62,-20.41,-114.05,69.38,-36.73,1.994,123,upstairs
113.01,57.12,-20.07,-113.65,68.75,-36.72,2.009,149,upstairs
113.01,57.12,-20.07,-115.74,69.31,-38.13,1.979,120,upstairs
114.25,57.76,-18.72,-115.23,69.95,-38.09,2.004,141,upstairs
117.52,58.51,-16.88,-115.23,69.95,-38.09,2.043,136,upstairs
121.27,59.48,-14.69,-113.37,69.98,-36.7,2.097,107,upstairs
123.93,60.59,-12.19,-112.45,69.93,-36.05,2.131,93,upstairs
123.93,60.59,-12.19,-112.09,70.19,-36.04,2.136,104,upstairs
126.08,61.35,-10.04,-111.57,70.77,-35.69,2.102,90,upstairs
128.35,61.84,-8.32,-111.57,70.77,-35.69,2.17,83,upstairs
131.16,62.28,-6.56,-110.92,71.23,-35.32,2.209,70,upstairs
134.28,62.83,-4.47,-109.83,71.58,-34.71,2.248,65,upstairs
137.47,63.3,-2.13,-108.69,71.99,-34.03,2.273,76,upstairs
137.47,63.3,-2.13,-107.75,72.46,-33.32,2.278,78,upstairs
140.3,63.62,0.09,-107.75,72.46,-33.32,2.175,95,upstairs
143.09,63.93,2.39,-106.92,72.91,-32.57,2.273,136,upstairs
146,64.29,4.83,-105.64,73.28,-31.5,2.243,173,upstairs
148.97,64.67,7.29,-103.92,73.61,-30.15,2.278,138,upstairs
148.97,64.67,7.29,-102.4,73.93,-28.91,2.346,139,upstairs
151.9,64.99,9.71,-102.4,73.93,-28.91,2.37,122,upstairs
154.72,65.21,12.09,-101.06,74.28,-27.76,2.385,230,upstairs
157.59,65.44,14.45,-99.56,74.6,-26.49,2.405,218,upstairs
160.35,65.75,16.78,-98,74.86,-25.22,2.41,237,upstairs
160.35,65.75,16.78,-96.66,75.08,-24.17,2.424,221,upstairs
163.12,65.99,19.15,-96.66,75.08,-24.17,2.439,255,upstairs
165.58,66.23,21.31,-95.35,75.3,-23.13,2.449,351,upstairs
167.75,66.51,23.2,-94.17,75.49,-22.25,2.458,394,upstairs
169.81,66.75,25.01,-93.17,75.63,-21.5,2.463,347,upstairs
169.81,66.75,25.01,-92.3,75.73,-20.89,2.478,322,upstairs
171.59,67.04,26.62,-92.3,75.73,-20.89,2.488,458,upstairs
173.15,67.24,28.03,-91.35,75.77,-20.11,2.502,405,upstairs
174.35,67.54,29.09,-90.37,75.74,-19.28,2.512,329,upstairs
175.36,67.87,29.95,-89.78,75.58,-18.88,2.532,284,upstairs
175.36,67.87,29.95,-89.22,75.34,-18.44,2.537,285,upstairs
176.19,68.2,30.63,-89.22,75.34,-18.44,2.546,310,upstairs
177.08,68.49,31.3,-88.84,75.07,-18.15,2.556,328,upstairs
178.17,68.8,32.17,-88.56,74.7,-18.01,2.561,283,upstairs
179.35,69.05,33.13,-88.09,74.31,-17.67,2.566,257,upstairs
-179.57,69.26,33.84,-87.53,73.91,-17.18,2.576,273,upstairs
-179.57,69.26,33.84,-87.09,73.47,-16.82,2.576,313,upstairs
-178.56,69.39,34.45,-87.09,73.47,-16.82,2.581,281,upstairs
-177.43,69.6,35.33,-86.86,72.94,-16.61,2.581,339,upstairs
-176.03,69.74,36.59,-86.46,72.42,-16.24,2.586,356,upstairs
-174.52,69.81,37.94,-85.93,71.9,-15.81,2.586,411,upstairs
-174.52,69.81,37.94,-85.29,71.4,-15.2,2.586,320,upstairs
-172.85,69.87,39.34,-85.29,71.4,-15.2,2.586,244,upstairs
-171.49,69.99,40.54,-84.67,70.87,-14.65,2.571,185,upstairs
-170.56,70.24,41.49,-84.47,70.23,-14.63,2.556,143,upstairs
-169.94,70.36,42.36,-84.38,69.39,-14.92,2.512,113,upstairs
-169.94,70.36,42.36,-84.36,68.5,-15.48,2.468,93,upstairs
-169.47,70.24,42.81,-84.36,68.5,-15.48,2.463,77,upstairs
-169.26,70.34,42.72,-84.44,67.74,-15.99,2.449,65,upstairs
-169.64,70.56,42,-84.76,66.98,-16.51,2.449,56,upstairs
-170.67,70.8,40.86,-85.56,66.09,-17.21,2.454,50,upstairs
-170.67,70.8,40.86,-87.12,64.93,-18.5,2.463,46,upstairs
-172.34,70.98,38.93,-87.12,64.93,-18.5,2.478,42,upstairs
-174.58,71.35,36.41,-89.44,63.55,-20.63,2.473,40,upstairs
-177.37,71.87,33,-92.57,61.84,-23.76,2.483,39,upstairs
179.85,72.69,29.8,-95.74,59.79,-27.18,2.331,37,upstairs
176.8,73.82,26.85,-99.16,57.53,-30.42,2.141,36,upstairs
176.8,73.82,26.85,-99.16,57.53,-30.42,2.048,35,upstairs
172.66,74.88,23.35,-102.46,55.29,-33.08,1.945,36,upstairs
166.04,75.6,18.19,-105.31,53.26,-35.03,1.931,37,upstairs
158.39,75.98,12.49,-107.51,51.73,-36.38,1.828,39,upstairs
151.36,76.02,7.38,-109.21,50.48,-37.2,1.789,39,upstairs
144.52,75.73,2.39,-110.48,49.44,-37.68,1.764,45,upstairs
144.52,75.73,2.39,-110.48,49.44,-37.68,1.74,48,upstairs
137.85,75.21,-2.61,-111.56,48.64,-38.04,1.72,51,upstairs
131.62,74.5,-7.39,-112.6,47.97,-38.22,1.691,50,upstairs
125.77,73.66,-11.94,-113.37,47.35,-38.61,1.676,49,upstairs
119.84,72.74,-16.6,-113.91,47.08,-38.93,1.657,50,upstairs
119.84,72.74,-16.6,-114.28,47.21,-38.9,1.647,53,upstairs
114.42,71.67,-20.7,-114.28,47.21,-38.9,1.637,56,upstairs
109.75,70.45,-24.11,-114.29,47.76,-38.62,1.632,53,upstairs
105.8,69.17,-27.05,-114.39,48.56,-38.53,1.628,54,upstairs
102.51,67.72,-29.6,-114.22,49.69,-38.43,1.628,53,upstairs
100.06,66.18,-31.62,-113.76,51.11,-38.22,1.632,51,upstairs
100.06,66.18,-31.62,-113.76,51.11,-38.22,1.637,49,upstairs
98.38,64.63,-33.14,-113.26,52.78,-37.94,1.642,49,upstairs
97.06,63.1,-34.32,-112.85,54.61,-37.68,1.652,46,upstairs
96.15,61.69,-35.11,-112.5,56.53,-37.55,1.662,45,upstairs
95.36,60.43,-35.81,-112.18,58.59,-37.47,1.672,42,upstairs
94.77,59.29,-36.38,-111.78,60.69,-37.4,1.681,40,upstairs
94.77,59.29,-36.38,-111.78,60.69,-37.4,1.691,39,upstairs
94.35,58.34,-36.74,-111.24,62.73,-37.35,1.706,38,upstairs
94,57.64,-36.98,-110.85,64.66,-37.51,1.716,37,upstairs
93.74,57.23,-37.1,-110.63,66.41,-37.8,1.725,37,upstairs
93.9,57.06,-36.94,-110.46,67.82,-38.13,1.74,36,upstairs
93.9,57.06,-36.94,-110.48,68.77,-38.51,1.76,36,upstairs
94.83,56.99,-36.3,-110.48,68.77,-38.51,1.779,36,upstairs
96.38,56.84,-35.29,-111.03,69.35,-39.04,1.794,44,upstairs
98.11,56.67,-34.24,-112.33,69.55,-40.04,1.808,53,upstairs
99.86,56.58,-33.23,-114.19,69.51,-41.53,1.818,64,upstairs
101.35,56.6,-32.36,-115,69.42,-41.68,1.828,78,upstairs
101.35,56.6,-32.36,-115,69.42,-41.68,1.843,76,upstairs
105.13,56.98,-29.88,-116.93,68.19,-43.48,1.872,176,upstairs
107.71,57.71,-27.84,-116.52,68.45,-42.87,1.916,157,upstairs
111.72,58.23,-25.37,-115.79,69.09,-41.18,1.965,148,upstairs
114.63,58.71,-22.52,-115.6,69.13,-40.15,2.019,117,upstairs
115.78,59.13,-20.67,-116.89,68.96,-40.83,2.038,116,upstairs
115.78,59.13,-20.67,-116.89,68.96,-40.83,2.033,95,upstairs
117.69,59.62,-18.56,-117,69.48,-40.64,2.053,88,upstairs
120.75,60.1,-16.57,-115.72,69.79,-39.71,2.082,87,upstairs
124.11,60.82,-14.29,-114.43,69.98,-38.86,2.121,78,upstairs
126.76,61.62,-11.91,-113.63,70.21,-38.36,2.151,102,upstairs
129.04,62.23,-9.86,-112.99,70.64,-38.09,2.165,107,upstairs
129.04,62.23,-9.86,-112.99,70.64,-38.09,2.19,119,upstairs
131.48,62.76,-7.97,-112.1,71.1,-37.74,2.219,104,upstairs
134.17,63.24,-6.03,-110.93,71.6,-37.18,2.239,92,upstairs
137.12,63.72,-3.85,-109.72,72.07,-36.77,2.263,77,upstairs
140.06,64.14,-1.68,-108.47,72.57,-36.31,2.278,69,upstairs
140.06,64.14,-1.68,-108.47,72.57,-36.31,2.278,64,upstairs
143.02,64.49,0.38,-107.3,73.08,-35.84,2.204,57,upstairs
145.95,64.82,2.37,-106.1,73.58,-35.37,2.243,60,upstairs
148.94,65.08,4.41,-104.74,74.08,-34.71,2.322,72,upstairs
152.03,65.29,6.65,-103.16,74.55,-33.75,2.326,67,upstairs
154.92,65.44,8.98,-101.27,75.05,-32.41,2.361,66,upstairs
154.92,65.44,8.98,-101.27,75.05,-32.41,2.375,113,upstairs
157.64,65.53,11.25,-99.14,75.56,-30.69,2.395,101,upstairs
160.24,65.68,13.47,-97.45,75.98,-29.22,2.405,101,upstairs
162.75,65.93,15.58,-95.78,76.35,-27.89,2.419,100,upstairs
165.11,66.16,17.52,-93.93,76.66,-26.58,2.439,127,upstairs
167.17,66.43,19.12,-92.59,76.89,-25.79,2.444,115,upstairs
167.17,66.43,19.12,-92.59,76.89,-25.79,2.434,103,upstairs
169.06,66.79,20.52,-91.68,77.07,-25.4,2.444,110,upstairs
170.95,67.08,21.79,-90.67,77.23,-24.97,2.463,124,upstairs
172.72,67.37,22.95,-89.63,77.33,-24.45,2.478,104,upstairs
174.21,67.6,23.96,-88.73,77.39,-23.94,2.517,118,upstairs
175.66,67.84,24.99,-87.93,77.36,-23.57,2.527,128,upstairs
177.09,68.04,26.03,-87.08,77.27,-23.09,2.542,200,upstairs
178.29,68.31,26.83,-86.4,77.12,-22.66,2.551,297,upstairs
179.41,68.58,27.64,-86.15,76.91,-22.6,2.561,406,upstairs
-179.5,68.82,28.55,-85.77,76.61,-22.29,2.571,364,upstairs
-178.52,68.95,29.31,-85.18,76.26,-21.64,2.586,403,upstairs
-177.7,69.12,30.04,-84.98,75.88,-21.34,2.59,467,upstairs
-176.79,69.16,31.08,-85.12,75.46,-21.25,2.595,489,upstairs
-175.65,69.16,32.47,-85.07,75,-21.02,2.6,509,upstairs
-174.26,69.17,33.97,-84.89,74.54,-20.78,2.605,392,upstairs
-172.57,69.13,35.64,-84.4,74.08,-20.4,2.61,295,upstairs
-170.58,69.06,37.49,-83.63,73.63,-19.61,2.61,253,upstairs
-168.81,69.03,39.36,-83.63,73.63,-19.61,2.61,193,upstairs
-168.81,69.03,39.36,-83.17,73.05,-19.01,2.595,148,upstairs
-167.78,69.12,40.8,-83.58,72.27,-19.58,2.566,117,upstairs
-167.23,69.06,41.71,-83.65,71.29,-20.22,2.532,93,upstairs
-166.91,69.16,41.85,-83.53,70.35,-20.62,2.498,77,upstairs
-167.23,69.38,41.04,-83.89,69.46,-21.22,2.478,65,upstairs
-167.23,69.38,41.04,-83.89,69.46,-21.22,2.468,56,upstairs
-168.39,69.58,39.6,-84.78,68.47,-21.62,2.468,53,upstairs
-170.19,69.44,37.8,-86.92,67.01,-22.76,2.483,48,upstairs
-172.27,69.23,35.61,-90.16,64.97,-25.04,2.483,44,upstairs
-174.23,69.57,33.39,-93.96,62.51,-28.27,2.478,41,upstairs
-176.03,70.6,31.42,-93.96,62.51,-28.27,2.429,39,upstairs
-176.03,70.6,31.42,-97.28,59.86,-31.46,2.175,38,upstairs
-177.89,72.02,30,-100.3,57.05,-34.5,2.102,37,upstairs
179.14,73.54,27.94,-102.8,54.37,-36.89,1.965,37,upstairs
173.85,74.85,24.09,-104.77,52.25,-38.23,1.921,37,upstairs
166.11,75.84,18.37,-106.46,50.76,-39.08,1.848,36,upstairs
158.42,76.17,12.86,-106.46,50.76,-39.08,1.789,38,upstairs
158.42,76.17,12.86,-108.17,49.41,-39.58,1.769,40,upstairs
151.02,75.91,7.58,-109.62,48.15,-39.76,1.735,41,upstairs
143.83,75.3,2.62,-111.2,47.05,-39.85,1.701,46,upstairs
136.64,74.57,-2.43,-112.54,46.14,-39.88,1.672,50,upstairs
129.92,73.76,-7.33,-113.23,45.56,-39.77,1.662,48,upstairs
124.2,72.83,-11.58,-113.23,45.56,-39.77,1.647,51,upstairs
124.2,72.83,-11.58,-113.6,45.52,-39.51,1.632,53,upstairs
118.68,71.72,-15.79,-113.86,46.01,-38.96,1.628,54,upstairs
114.18,70.49,-19.12,-113.97,46.87,-38.4,1.623,52,upstairs
110.34,69.24,-21.85,-113.94,47.95,-37.98,1.618,51,upstairs
107.17,67.98,-24.02,-113.94,47.95,-37.98,1.623,50,upstairs
107.17,67.98,-24.02,-113.54,49.32,-37.56,1.632,51,upstairs
104.72,66.67,-25.79,-112.82,50.99,-37.08,1.647,51,upstairs
102.89,65.26,-27.25,-111.88,52.9,-36.5,1.662,49,upstairs
101.6,63.82,-28.34,-110.97,54.92,-35.95,1.672,47,upstairs
100.52,62.45,-29.14,-110.4,57.06,-35.51,1.686,44,upstairs
99.4,61.18,-29.86,-110.4,57.06,-35.51,1.696,43,upstairs
99.4,61.18,-29.86,-109.84,59.26,-35.06,1.706,42,upstairs
98.4,60.03,-30.33,-109.36,61.35,-34.75,1.716,41,upstairs
97.63,59.15,-30.57,-108.7,63.35,-34.47,1.72,40,upstairs
97.18,58.59,-30.62,-107.91,65.21,-34.14,1.74,40,upstairs
97.18,58.32,-30.44,-107.91,65.21,-34.14,1.75,42,upstairs
97.18,58.32,-30.44,-107.04,66.82,-33.91,1.774,40,upstairs
97.72,58.21,-30.01,-106.03,68.14,-33.57,1.789,38,upstairs
98.8,58.2,-29.29,-105.67,69.14,-33.4,1.808,37,upstairs
100.26,58.2,-28.37,-105.55,69.79,-32.8,1.823,36,upstairs
100.62,58.15,-28.19,-106.38,68.72,-33.3,1.843,45,upstairs
102.75,57.98,-26.37,-106.38,68.72,-33.3,1.852,101,upstairs
102.75,57.98,-26.37,-108.89,66.79,-35.28,1.857,117,upstairs
103.85,57.87,-25.56,-108.34,66.89,-34.15,1.862,128,upstairs
105.16,57.62,-24.92,-110.36,67,-35.12,1.867,125,upstairs
106.32,58.09,-24.4,-112.09,67.03,-36.12,1.882,107,upstairs
109.8,58.63,-22.23,-112.09,67.03,-36.12,1.896,90,upstairs
